DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
30-Sep-22,46,"AA/2223/7062, AA/2223/7106",73200.11,9962.67,6108.72,23686.13,2235.86,47278.12,89272,6816,1160,81870,574,0,164,275,1,4
29-Sep-22,35,"AA/2223/7027, AA/2223/7061",26105.68,3436.52,6879,9180,1151.79,15773.9,36421,2735,2880,31446,640,0,105,137,0,0
28-Sep-22,44,"AA/2223/6983, AA/2223/7026",43762.3,4439.5,7969.76,25776.88,1445.36,16540.06,56172,17160,11502,28670,1160,0,168,306,0,0
27-Sep-22,33,"AA/2223/6951, AA/2223/6982",23461.43,1909.57,3638,16638.1,2508.93,4314.41,29009,5185,5402,18942,520,0,120,187,1,1
26-Sep-22,27,"AA/2223/6924, AA/2223/6950",23631.84,1660.16,1553,19357.14,1285.71,2988.98,26845,6080,0,21325,560,0,108,252,0,0
25-Sep-22,54,"AA/2223/6870, AA/2223/6923",70771.6,7922.77,7383.63,36041.59,2178.57,32551.44,86078,8315,22370,56968,1575,0,222,334,0,0
24-Sep-22,52,"AA/2223/6818, AA/2223/6869",33825.86,2506.14,2583,26779.43,1686.45,5359.97,38915,5320,9679,24531,615,0,195,286,0,0
23-Sep-22,34,"AA/2223/6784, AA/2223/6817",24179.56,2528.37,3523.06,12820.89,2620.54,8738.14,30231,19340,330,12624,2063,0,137,231,0,0
22-Sep-22,27,"AA/2223/6757, AA/2223/6783",24022.98,3007.43,3274.59,9863.08,575.16,13584.75,30305,2750,755,27850,1050,0,79,127,0,0
21-Sep-22,36,"AA/2223/6721, AA/2223/6756",20276.36,1623.73,7111.41,15028.9,1204.24,4043.22,29012,5915,6858,16539,300,0,143,227,0,0
20-Sep-22,38,"AA/2223/6685, AA/2223/6720",25710.79,1569.21,3199,23300,495.54,1915.25,30479,8540,1921,21724,1706,0,149,229,2,3
19-Sep-22,39,"AA/2223/6646, AA/2223/6684",53567.39,6801.61,6669,20341.9,3267.86,29957.63,67038,11825,13240,42767,794,0,181,278,0,0
18-Sep-22,69,"AA/2223/6578, AA/2223/6645",46483.67,3344.92,14122.71,36814.32,3937.95,5731.4,63951,12020,20085,32486,640,0,273,370,1,10
17-Sep-22,55,"AA/2223/6524, AA/2223/6577",65985.36,7497.64,2955,31770.57,4159.29,30055.51,76438,9780,25205,42143,690,0,226,362,1,1
16-Sep-22,40,"AA/2223/6484, AA/2223/6523",30061.18,2043.82,4963,25176.19,1571.43,3313.56,37068,4095,4073,30012,1112,0,152,243,0,0
15-Sep-22,55,"AA/2223/6430, AA/2223/6483",57203.67,6215.33,6307,29175.77,4808.04,23219.87,69726,16649,2961,53741,3625,0,215,314,1,1
14-Sep-22,50,"AA/2223/6380, AA/2223/6429",63924,6616,5326,36725.71,1933.04,25265.25,75866,6818,41340,29593,1885,0,198,275,0,0
13-Sep-22,36,"AA/2223/6345, AA/2223/6379",22973.95,1959.91,1844,15223.81,3271.79,4478.36,26777.46,3804.46,5253,17985,265,0,135,195,1,1
12-Sep-22,37,"AA/2223/6308, AA/2223/6344",28754.75,2347.25,5861,21198.1,1214.29,6342.37,36963,2965,890,33278,170,0,147,234,0,0
11-Sep-22,50,"AA/2223/6258, AA/2223/6307",35569.55,2781.55,4592,26728.57,2437.5,6403.47,42943,8235,7938,27880,1110,0,245,354,0,0
10-Sep-22,36,"AA/2223/6223, AA/2223/6257",29285.94,2062.15,6326.91,24167.82,1125.11,3993.01,37675,7802,8450,21844,421,0,168,247,1,1
09-Sep-22,30,"AA/2223/6193, AA/2223/6222",18616.61,1398.14,3644.5,14337.86,1482.14,2796.61,23659,2055,3267,18832,495,0,108,152,0,0
08-Sep-22,31,"AA/2223/6162, AA/2223/6192",26707.66,1927.34,2088,21614.29,1169.64,3923.73,30723,7865,8008,15140,290,0,120,221,0,0
07-Sep-22,23,"AA/2223/6139, AA/2223/6161",12552.93,767.07,4466,11323.81,339.29,889.83,17786,7585,1155,10298,1252,0,77,97,0,0
06-Sep-22,25,"AA/2223/6114, AA/2223/6138",35188.83,3723.17,1508,18928.57,2501.79,13758.47,40420,19350,5682,15910,522,0,123,195,0,0
05-Sep-22,32,"AA/2223/6083, AA/2223/6113",49889.68,7330.32,3518,12142.86,1187.5,36559.32,60738,18430,14775,28668,1135,0,109,134,1,8
04-Sep-22,51,"AA/2223/6033, AA/2223/6082",46316.55,4307.45,5757,30501.9,1071.43,14743.22,56381,16070,7717,32894,300,0,192,306,1,4
03-Sep-22,43,"AA/2223/5991, AA/2223/6032",48357.86,6268.14,3283.5,17182.86,3375,27800,57910,8580,8234,41836,740,0,179,235,1,3
02-Sep-22,39,"AA/2223/5952, AA/2223/5990",50852.37,6288.73,7922,20969.52,2310.9,27571.95,65063,15680,34049,16004,670,0,174,282,0,0
01-Sep-22,35,"AA/2223/5917, AA/2223/5951",26376.75,1932.25,6218,21530.48,276.79,4569.49,34527,8540,12088,15114,1215,0,126,220,0,0
31-Aug-22,32,"AA/2223/5885, AA/2223/5916",83669.85,10779.85,3928,30648.57,4940.18,48081.1,98379,12510,11471,75002,604,0,166,321,0,0
30-Aug-22,49,"AA/2223/5836, AA/2223/5884",53497.76,6225.11,9037.73,25173.77,2198.21,26125.78,68762,6285,5288,57765,576,0,233,433,0,0
29-Aug-22,43,"AA/2223/5793, AA/2223/5835",20121.3,1915.8,2032,12847.62,597.41,6676.27,24069,4020,3934,17202,1087,0,95,174,0,0
28-Aug-22,54,"AA/2223/5739, AA/2223/5792",35796.54,2709.96,6827,26877.62,3988.84,4930.08,45334,7870,16713,21593,842,0,232,317,0,0
27-Aug-22,66,"AA/2223/5674, AA/2223/5738",50260.8,4571.5,5504.57,32074.31,5096.36,13090.13,60337,19145,2045,41221,2074,0,299,468,1,1
26-Aug-22,43,"AA/2223/5631, AA/2223/5673",44702.13,3661.87,3988,32348.57,2986.61,9366.95,52352,7105,10954,35573,1280,0,182,294,0,0
