NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Rice Nippattu 100g,Prakruthivanam,1 grm,Snacks,Home Made,5,432,329,24685.71,25920,60,60,42
Real Aam Rs.5,Go Desi,1 pc,Miscellaneous,Miscellaneous,5,7098,1312,33800,35490,5,5,4
Coconut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,636,499,327085.71,343440,540,540,430
Kiwi - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,16,15,2288,2288,143,143,110
Jaggery Powder-500g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,0,61,37,3965,3965,65,65,45
Groundnut Chikki-250 Gms-pvs,Prakruthivanam,1 pc,Snacks,Home Made,5,4778,2669,455047.62,477800,100,100,56
 Turmeric Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,550,470,20952.38,22000,40,40,31
Timbaktu Organic Wheat Chips 250g ,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,117,110,6444.92,7605,65,65,48.75
Sunni Pindi (bath Powder) 200grms--pvs,Prakruthivanam,1 pc,Personal Care,Skin Care,12,1094,742,97678.57,109400,100,100,70.56
Jowar Pops Sweet 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,68,55,3885.71,4080,60,60,45.15
GroundnutOil 5 ltr,Prakruthivanam,1 ltr,Grocery & Staples,Cooking Oil,5,357,334,680000,714000,2050,2000,1545
Green Gram Whole 500gmspvs,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,439,354,33447.62,35120,80,80,61.01
Groundnuts 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,2657,1736,531400,557970,210,210,168
Amla Pickle 300g,Prakruthivanam,1 pkt,PICKLES,Miscellaneous,12,184,177,27928.57,31280,170,170,128
Pure&Sure Organic Kodbale 200g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,117,98,9401.79,10530,90,90,60
